N,maks_abs_jumlah_kolom_A,pivot_terakhir_A,pivot_min_lain_A,pivot_min_B,z1,jumlah_z,jumlah_pi_minus_1,pi_min
16,6.938893903907228e-17,2.914335439641036e-16,0.08599884808024372,0.006500509398626231,1.0,14.043478260869426,0.0,0.03128143631647254
32,8.326672684688674e-17,1.1102230246251565e-16,0.09808750730990912,0.003343149989663466,1.0,27.95652173913078,0.0,0.015590010077180366
64,1.249000902703301e-16,2.0816681711721685e-16,0.09922122395503852,0.0016971449288606943,1.0,55.782608695648136,0.0,0.007798834732920434
128,1.1102230246251565e-16,4.163336342344337e-17,0.09965616429423255,0.0008552407274033252,1.0,111.43478260868484,0.0,0.0039022447321592495
256,1.249000902703301e-16,2.7755575615628914e-17,1.1894776799636908e-07,1.1935594451673026e-07,1.0,222.739130539332,0.0,0.0019520516270901413
512,1.249000902703301e-16,5.551115123125783e-17,0.09992250996434925,0.00021508899880166854,1.0,445.34782608683554,0.0,0.0009762852453183952
